COUNTRY,YEARS_OF_EXPERIENCE,URL,COMPANY,JOB_TITTLE,BASE_PAY,ADDITIONAL_PAY_AVERAGE,ADDITIONAL_PAY_RANGE,CONFIDENCE,SALARIES_SUBMITTED,UPDATED
United Kingdom,All years of experience,"https://www.glassdoor.co.uk/Salary/Crossrail-Project-Manager-Salaries-E767043_D_KO10,25.htm?experienceLevel=ALL_YEARS_OF_EXPERIENCE&location=N,2",Crossrail,Crossrail Project Manager Salaries,"£55K
-
£105K/yr",£75K/yr average,£500 - £500,High Confidence,5 Salaries submitted,Last updated 7 Apr 2022
United Kingdom,0-1 Year,"https://www.glassdoor.co.uk/Salary/Crossrail-Project-Manager-Salaries-E767043_D_KO10,25.htm?experienceLevel=LESS_THAN_ONE&location=N,2",Crossrail,Crossrail Project Manager Salaries,"£75K
-
£110K/yr",£93K/yr average,,Low Confidence,2 Salaries submitted,Last updated 7 Apr 2022
United Kingdom,1-3 Years,"https://www.glassdoor.co.uk/Salary/Crossrail-Project-Manager-Salaries-E767043_D_KO10,25.htm?experienceLevel=ONE_TO_THREE&location=N,2",Crossrail,Crossrail Project Manager Salaries,"Please try a new search
We were unable to confidently predict a Total Pay estimate for this role based on limited pay data for similar job titles, employers, locations, and/or years of experience.",,,,,
United Kingdom,4-6 Years,"https://www.glassdoor.co.uk/Salary/Crossrail-Project-Manager-Salaries-E767043_D_KO10,25.htm?experienceLevel=FOUR_TO_SIX&location=N,2",Crossrail,Crossrail Project Manager Salaries,"£50K
-
£60K/yr",£55K/yr average,,Low Confidence,2 Salaries submitted,Last updated 31 Mar 2022
United Kingdom,7-9 Years,"https://www.glassdoor.co.uk/Salary/Crossrail-Project-Manager-Salaries-E767043_D_KO10,25.htm?experienceLevel=SEVEN_TO_NINE&location=N,2",Crossrail,Crossrail Project Manager Salaries,"Please try a new search
We were unable to confidently predict a Total Pay estimate for this role based on limited pay data for similar job titles, employers, locations, and/or years of experience.",,,,,
United Kingdom,10-14 Years,"https://www.glassdoor.co.uk/Salary/Crossrail-Project-Manager-Salaries-E767043_D_KO10,25.htm?experienceLevel=TEN_TO_FOURTEEN&location=N,2",Crossrail,Crossrail Project Manager Salaries,"Please try a new search
We were unable to confidently predict a Total Pay estimate for this role based on limited pay data for similar job titles, employers, locations, and/or years of experience.",,,,,
United Kingdom,15+ Years,"https://www.glassdoor.co.uk/Salary/Crossrail-Project-Manager-Salaries-E767043_D_KO10,25.htm?experienceLevel=ABOVE_FIFTEEN&location=N,2",Crossrail,Crossrail Project Manager Salaries,"£0
-
£0/yr",£0/yr average,,Low Confidence,1 Salaries submitted,Last updated 1 Dec 2020
United Kingdom,All years of experience,"https://www.glassdoor.co.uk/Salary/Crossrail-Commercial-Manager-Salaries-E767043_D_KO10,28.htm?experienceLevel=ALL_YEARS_OF_EXPERIENCE&location=N,2",Crossrail,Crossrail Commercial Manager Salaries,"£50K
-
£70K/yr",£65K/yr average,,Low Confidence,3 Salaries submitted,Last updated 28 Apr 2023
United Kingdom,0-1 Year,"https://www.glassdoor.co.uk/Salary/Crossrail-Commercial-Manager-Salaries-E767043_D_KO10,28.htm?experienceLevel=LESS_THAN_ONE&location=N,2",Crossrail,Crossrail Commercial Manager Salaries,"£0
-
£0/yr",£0/yr average,,Low Confidence,1 Salaries submitted,Last updated 15 Dec 2021
United Kingdom,1-3 Years,"https://www.glassdoor.co.uk/Salary/Crossrail-Commercial-Manager-Salaries-E767043_D_KO10,28.htm?experienceLevel=ONE_TO_THREE&location=N,2",Crossrail,Crossrail Commercial Manager Salaries,"Please try a new search
We were unable to confidently predict a Total Pay estimate for this role based on limited pay data for similar job titles, employers, locations, and/or years of experience.",,,,,
